Review,Label
Mình đã dùng anywhere thế hệ đầu  quả là đầy thất vọng  hiện tại đang vứt xó  Giá thì đắt  ngốn pin như ăn gỏi  nặng,-1
Quan tâm nhất là độ trễ có cao không  dùng thi thoảng nó cứ trễ bực mình  đấy mới chỉ là dùng văn phòng chứ game thì chắc là ném đi từ lâu  Không biết con này có độ trễ không nhỉ  Dùng nhiều loại nhưng vẫn kết nhất con chuột sứ mitsumi  gọn bấm nảy tốt,-1
dag xài con cùi bắp 98k    pin trâu  mỗi tội đánh liên minh ức chế đập hết 2 con,-1
logitech chắc hàng phải tiền triệu trở lên dùng mới thích chứ em dùng con có 400k thấy được vài bữa là hư  chuyển sang eblue dùng được hơn năm chưa thấy hỏng ,-1
Đang xài con m175 cùi mía   nhà xài nhiều chuột nên thử con này con kia chơi và kết quả là sau 3 tháng và 4 con chuột khác nhau đủ kiểu đa chức năng mà h chỉ còn lại là con m175 cùi mía còn xài dc  3 h đi mua chuột là xác định ko để mấy con nhân viên vấy ngắn nó dụ nửa cứ logitech mà fan,-1
Đang xài 2 con hM185  nút chuột giữa hai con đều như hạch  xài chưa được năm   scroll đã chạy bậy rồi  Hay mua phải đồ đểu hỉ?,-1
Con Anywhere 1 mình dùng bị double click cũng 3 lần rồi    chán lắm,-1
Hàng cty cấp  cấp xong vứt ở nhà  xài con Xornet cho đỡ mỏi tay  Cơ mà vẫn thắc mắc là dong thấp nhất  nhưng éo bằng con misumi giá bằng 1 3 ,-1
Magic mouse mà ngon hơn mới lạ  Magic mouse chỉ được cái đẹp  pin thì ăn 2 tuần hết  ko di trên mọi bề mặt được bạn nhé  bảo hành thì hãng bảo hành 1 năm  còn Logitech thì năm nhé    chuột này em đang dùng  chuột magic mouse bỏ tủ,-1
em giống y bác luôn  chán bluetooth kinh hồn  1tr7 mà em không tưởng tượng được độ chuối của bluetooth,-1
Mình cũng giật kinh khủng  cảm thấy hơi nản về cái bluetooth của nó      đã cập nhật El Capitan mới nhất  lúc đầu ko bị  1 thời gian sau lại giật lại như thường,-1
Mình đã lên 10 11 3 nhưng vẫn bị  đúng là tắt wifi đi thì ngon hơn hẵn      Chán vãi  mua em noá để khỏi dùng USB receiver  mà thấy cái bluetooth nản vãi,-1
10 11 3 mac 13  2015 mà         cảm thấy chuột ko mượt   khá là khó chịu,-1
di chuyển chuột ko mượt bạn ơi  Còn cáo Scroll cũng thấy bt nhưng chả biết sao cảm giác ko thích lắm  Mới đầu test train win thì ok nhưng giờ về nhà cắm mac the xảy ra mấy chi khi chịu thật ,-1
Cập Nhật tình hình sau khi đi bảo hành về bên logitech thông báo chuột bình thường khi kết nối bluetooth với mac air  Mình mang mac pro ra ngoài svhouse kết nối vs bluetooth con mv anywerè 2 thì vẫn có hiện tượng lag        giờ mang về xài tạm chứ chả biết giải quyết sao luôn  Tính làm cái mail gửi svhouse để hối thúc bên logitech mà chả biết thế nào      mấy bạn xài mac pro 10 11 3 kết nối bluetooth thì bt à??? Chắc kiếm chuột khác cắm test thử xem sao quá ,-1
có ai mua con này dùng lúc rê nó bị đứt quãng không  e dùng thấy bị khó chịu quá  rê nó không được đều ,-1
Vừa đi bảo hành con này nút middle  Chuột logitech cao cấp hình như không tốt  Trước đây xài con M905 cũng bị lỗi double click ko sửa được  Cũng may  Thành Nhân đổi cho con mới  Giờ đến con này thì cũng bị lỗi  Cho do mình xui,-1
